name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,website,priority,prospect_score,opening_hours,source,source_url,maps_url,website_evidence
Peinture du Véron,company,office:company,Avoine,37420,"Rue Denis Papin, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811568,"https://www.google.com/maps/search/?api=1&query=47.2178123,0.1641126",résultat ambigu (ville-chinon.com)
Phytoservice,company,office:company,Avoine,37420,"Rue André-Marie Ampère, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811580,"https://www.google.com/maps/search/?api=1&query=47.2172381,0.1645884",résultat ambigu (umicore.be)
Proman,employment_agency,office:employment_agency,,37420,,+33 2 47 98 00 84,,yes,high,https://www.proman-emploi.fr/agences/chinon,low,2,"Mo-Fr 08:00-12:00, 14:00-18:00",OpenStreetMap,https://www.openstreetmap.org/node/10942301005,"https://www.google.com/maps/search/?api=1&query=47.205125,0.1830753",website tag présent dans OpenStreetMap
Start People,employment_agency,office:employment_agency,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811583,"https://www.google.com/maps/search/?api=1&query=47.2196207,0.1643989",résultat ambigu (bodenseekreis.de)
TPPL,company,office:company,Beaumont-en-Véron,37420,"Rue du Sauget, 37420 Beaumont-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9332693394,"https://www.google.com/maps/search/?api=1&query=47.2137369,0.1668304",résultat ambigu (missavtv.com)
Vival,convenience,shop:convenience,,37420,,+33 2 47 95 43 03,,yes,high,https://magasins.vival.fr/fr/vival-rigny-usse,low,2,"Mo 08:30-13:00,15:30-19:00; Tu-Sa 08:00-13:00,15:30-19:00; Su 09:00-12:30",OpenStreetMap,https://www.openstreetmap.org/node/461184852,"https://www.google.com/maps/search/?api=1&query=47.2515758,0.2968216",website tag présent dans OpenStreetMap
Église Notre-Dame,attraction,tourism:attraction,Rigny-Ussé,37420,"Rue des Fougères, 37420 Rigny-Ussé",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/way/70737373,"https://www.google.com/maps/search/?api=1&query=47.2479647,0.3162042",résultat ambigu (de.pons.com)
Au fil de l'eau,restaurant,amenity:restaurant,,37420,4 Rue du Val de l'Indre,,,likely_yes,medium,https://restaurant.restaurants-de-france.fr/au-fil-de-l-eau-37420-avoine-1237715.html,low,1,,OpenStreetMap,https://www.openstreetmap.org/node/10001977890,"https://www.google.com/maps/search/?api=1&query=47.2313186,0.1881937",premier domaine plausible comme site officiel (restaurant.restaurants-de-france.fr)
Caisse d'Épargne,bank,amenity:bank,Avoine,37420,37420 Avoine,,,likely_yes,medium,https://www.agences.caisse-epargne.fr/banque-assurance/ile-de-france/avoine-id14505000241,low,1,,OpenStreetMap,https://www.openstreetmap.org/way/62411171,"https://www.google.com/maps/search/?api=1&query=47.2049544,0.1829708",premier domaine plausible comme site officiel (agences.caisse-epargne.fr)
Domaine de la Roche Honneur,wine,shop:wine,Savigny en Véron,37240,"1 Rue de la Berthelonnière, 37240 Savigny en Véron",,,likely_yes,medium,https://boncaviste.com/37/savigny-en-veron/domaine-de-la-roche-honneur-drv,low,1,,OpenStreetMap,https://www.openstreetmap.org/node/4947205074,"https://www.google.com/maps/search/?api=1&query=47.2070094,0.1408736",premier domaine plausible comme site officiel (boncaviste.com)
Le Jardin de Rabelais - Site Savigny 2,company,office:company,Savigny-en-Véron,37420,"Rue de la Charrière, 37420 Savigny-en-Véron",,,likely_yes,medium,https://autour-de-moi.pro/fiche/le-jardin-de-rabelais-savigny-2/,low,1,,OpenStreetMap,https://www.openstreetmap.org/node/13481588956,"https://www.google.com/maps/search/?api=1&query=47.2140621,0.1537081",premier domaine plausible comme site officiel (autour-de-moi.pro)
Le logis de C.,guest_house,tourism:guest_house,Rigny-Ussé,37420,"15 Rue d'Azay le Rideau, 37420 Rigny-Ussé",,,likely_yes,medium,https://www.logishotels.com/de,low,1,,OpenStreetMap,https://www.openstreetmap.org/node/4266174595,"https://www.google.com/maps/search/?api=1&query=47.256494,0.31066",premier domaine plausible comme site officiel (logishotels.com)
Les Terrasses d'Ussé,restaurant,amenity:restaurant,,37420,"2 Rue Principale, 37420",,,likely_yes,medium,https://fr.restaurantguru.com/Les-Terrasses-dUsse-Rigny-Usse,low,1,,OpenStreetMap,https://www.openstreetmap.org/node/10846182205,"https://www.google.com/maps/search/?api=1&query=47.2509401,0.2930872",premier domaine plausible comme site officiel (fr.restaurantguru.com)
Adecco,employment_agency,office:employment_agency,,37420,,,,likely_yes,medium,https://www.adecco.com/de-de,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811588,"https://www.google.com/maps/search/?api=1&query=47.2193724,0.164769",premier domaine plausible comme site officiel (adecco.com)
Ambiance Cuisine,kitchen,shop:kitchen,,37420,,,,likely_yes,medium,https://www.pagesjaunes.fr/pros/50954231,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811556,"https://www.google.com/maps/search/?api=1&query=47.2127839,0.1710675",premier domaine plausible comme site officiel (pagesjaunes.fr)
Angélique Léon,wine,shop:wine,,37420,,,,likely_yes,medium,https://angelique-leon.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/189091229,"https://www.google.com/maps/search/?api=1&query=47.2007803,0.143577",premier domaine plausible comme site officiel (angelique-leon.com)
Apave,company,office:company,,37420,,,,likely_yes,medium,https://france.apave.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693393,"https://www.google.com/maps/search/?api=1&query=47.2136262,0.1620516",premier domaine plausible comme site officiel (france.apave.com)
ASCA,company,office:company,,37420,,,,likely_yes,medium,https://asca-scop-sa.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811567,"https://www.google.com/maps/search/?api=1&query=47.213952,0.1711312",premier domaine plausible comme site officiel (asca-scop-sa.com)
ASPA 2,company,office:company,,37420,,,,likely_yes,medium,https://www.aspa2.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811578,"https://www.google.com/maps/search/?api=1&query=47.21735,0.1697599",premier domaine plausible comme site officiel (aspa2.fr)
ATTM,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/etablissement/a-t-t-m-34083286400037.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811550,"https://www.google.com/maps/search/?api=1&query=47.2169238,0.1654374",premier domaine plausible comme site officiel (societe.com)
Bilfinger,company,office:company,,37420,,,,likely_yes,medium,https://www.bilfinger.com/fr/fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693392,"https://www.google.com/maps/search/?api=1&query=47.2134071,0.1626577",premier domaine plausible comme site officiel (bilfinger.com)
Boucherie - Charcuterie Traiteur,butcher,shop:butcher,,37420,,,,likely_yes,medium,http://www.lesbouchers-tours.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/2339173987,"https://www.google.com/maps/search/?api=1&query=47.2055169,0.1824295",premier domaine plausible comme site officiel (lesbouchers-tours.com)
Bouygues Énergie et Services,company,office:company,,37420,,,,likely_yes,medium,https://www.bouyguestelecom.fr/?msockid=2051290f8bf96e2106b73e598a026f13,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693397,"https://www.google.com/maps/search/?api=1&query=47.2138192,0.1614446",premier domaine plausible comme site officiel (bouyguestelecom.fr)
Cabas Huismois,convenience,shop:convenience,,37420,,,,likely_yes,medium,https://www.facebook.com/Lecabashuismois/,low,0,"Mo 08:00-12:30,16:30-19:15; Tu 08:30-12:30; We-Su 09:30-12:30; Th off; Fr 09:30-12:30,16:30-19:15",OpenStreetMap,https://www.openstreetmap.org/node/10038069342,"https://www.google.com/maps/search/?api=1&query=47.2316764,0.2534786",premier domaine plausible comme site officiel (facebook.com)
Casse auto du Véron,company,office:company,,37420,,,,likely_yes,medium,https://casseautos.com/37/savigny-en-veron/casse-auto-du-veron-bc,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693401,"https://www.google.com/maps/search/?api=1&query=47.2106039,0.1590578",premier domaine plausible comme site officiel (casseautos.com)
Christian Tribut,painter,craft:painter,,37420,,,,likely_yes,medium,https://www.pagesjaunes.fr/pros/08163345,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/187037922,"https://www.google.com/maps/search/?api=1&query=47.2181082,0.1659243",premier domaine plausible comme site officiel (pagesjaunes.fr)
Château d'Ussé,attraction,tourism:attraction,,37420,,,,yes,high,https://www.chateaudusse.fr/,low,0,Feb 16 - Mar 31 10:00-18:00; Apr 1 - Sep 30 10:00-19:00; Oct 1 - Nov 1 10:00-18:00,OpenStreetMap,https://www.openstreetmap.org/relation/20044001,"https://www.google.com/maps/search/?api=1&query=47.2497911,0.2913042",website tag présent dans OpenStreetMap
DDT Fluvial,company,office:company,,37420,,,,likely_yes,medium,https://www.fluvial.developpement-durable.gouv.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693398,"https://www.google.com/maps/search/?api=1&query=47.2136525,0.1614285",premier domaine plausible comme site officiel (fluvial.developpement-durable.gouv.fr)
Domaine de la Roche Honneur,winery,craft:winery,,37420,,,,likely_yes,medium,https://boncaviste.com/37/savigny-en-veron/domaine-de-la-roche-honneur-drv,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693391,"https://www.google.com/maps/search/?api=1&query=47.2094658,0.1533879",premier domaine plausible comme site officiel (boncaviste.com)
Domaine de la Roche Honneur,wine,shop:wine,,37420,,,,likely_yes,medium,https://boncaviste.com/37/savigny-en-veron/domaine-de-la-roche-honneur-drv,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/189724544,"https://www.google.com/maps/search/?api=1&query=47.2069005,0.1407502",premier domaine plausible comme site officiel (boncaviste.com)
Domaine des Galuches,wine,shop:wine,,37420,,,,likely_yes,medium,https://www.domainedesgaluches.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/193336828,"https://www.google.com/maps/search/?api=1&query=47.2321395,0.1419791",premier domaine plausible comme site officiel (domainedesgaluches.fr)
Domaine du Raifault,wine,shop:wine,,37420,,,,likely_yes,medium,https://cavemonplaisir.fr/domaines/domaine_du_raifault_cave_monplaisir_chinon/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/189724538,"https://www.google.com/maps/search/?api=1&query=47.2070566,0.1390743",premier domaine plausible comme site officiel (cavemonplaisir.fr)
Domaine Jean-Maurice Raffault,wine,shop:wine,,37420,,,,likely_yes,medium,https://jean-maurice-raffault.com/index.php,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/189592210,"https://www.google.com/maps/search/?api=1&query=47.204775,0.1461395",premier domaine plausible comme site officiel (jean-maurice-raffault.com)
Domaine Wilfrid Rousse,wine,shop:wine,,37420,,,,likely_yes,medium,https://www.chinonrousse.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/189584143,"https://www.google.com/maps/search/?api=1&query=47.2074973,0.1425967",premier domaine plausible comme site officiel (chinonrousse.fr)
Décontamat,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/societe/decontamat-821018777.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693408,"https://www.google.com/maps/search/?api=1&query=47.2138559,0.1627965",premier domaine plausible comme site officiel (societe.com)
Ecosys,company,office:company,,37420,,,,likely_yes,medium,https://www.ecosysgroup.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693414,"https://www.google.com/maps/search/?api=1&query=47.2104453,0.1613793",premier domaine plausible comme site officiel (ecosysgroup.com)
Eiffage Énergie Systèmes - Clemessy,company,office:company,,37420,,,,likely_yes,medium,https://www.eiffage.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/124993171,"https://www.google.com/maps/search/?api=1&query=47.213874,0.1636705",premier domaine plausible comme site officiel (eiffage.com)
Engie Axima,company,office:company,,37420,,,,likely_yes,medium,https://www.engie-deutschland.de/de,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811581,"https://www.google.com/maps/search/?api=1&query=47.2183877,0.1638555",premier domaine plausible comme site officiel (engie-deutschland.de)
Engie Endel,company,office:company,,37420,,,,likely_yes,medium,https://www.engie-deutschland.de/de,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811569,"https://www.google.com/maps/search/?api=1&query=47.2163884,0.1649414",premier domaine plausible comme site officiel (engie-deutschland.de)
Europcar,car_rental,amenity:car_rental,,37420,,,,yes,high,https://www.europcar.fr/fr-fr/agences/france/avoine,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/3114974989,"https://www.google.com/maps/search/?api=1&query=47.2133644,0.1707095",website tag présent dans OpenStreetMap
Flament Philippe et Fils,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/societe/flament-philippe-et-fils-sarl-811487792.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811589,"https://www.google.com/maps/search/?api=1&query=47.2192744,0.1677814",premier domaine plausible comme site officiel (societe.com)
Foc,company,office:company,,37420,,,,likely_yes,medium,https://foc.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811564,"https://www.google.com/maps/search/?api=1&query=47.2125105,0.1724266",premier domaine plausible comme site officiel (foc.fr)
Graphic Rivière,company,office:company,,37420,,,,likely_yes,medium,https://france-imprimeries.info/imprimeur-graphic-riviere/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811570,"https://www.google.com/maps/search/?api=1&query=47.2142957,0.1722125",premier domaine plausible comme site officiel (france-imprimeries.info)
Gîte des Figuiers,chalet,tourism:chalet,,37420,,,,likely_yes,medium,https://www.gites-de-france.com/de,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/128305223,"https://www.google.com/maps/search/?api=1&query=47.2270734,0.2548042",premier domaine plausible comme site officiel (gites-de-france.com)
Helios,company,office:company,,37420,,,,likely_yes,medium,https://www.groupehelios.com/fr/accueil/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811554,"https://www.google.com/maps/search/?api=1&query=47.2178197,0.1657269",premier domaine plausible comme site officiel (groupehelios.com)
INEO,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/etablissement/ineo-nucleaire-40989907700120.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811555,"https://www.google.com/maps/search/?api=1&query=47.2195191,0.164961",premier domaine plausible comme site officiel (societe.com)
Innov' Formation,company,office:company,,37420,,,,likely_yes,medium,https://innovv.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811579,"https://www.google.com/maps/search/?api=1&query=47.2193821,0.1642068",premier domaine plausible comme site officiel (innovv.com)
Institut de Soudure Industrie,company,office:company,,37420,,,,likely_yes,medium,https://www.ifv.de/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811584,"https://www.google.com/maps/search/?api=1&query=47.2201111,0.1653055",premier domaine plausible comme site officiel (ifv.de)
Jacqueline et Phillippe Nalin,bakery,shop:bakery,,37420,,,,likely_yes,medium,https://de.wikipedia.org/wiki/Jacqueline,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/4337173690,"https://www.google.com/maps/search/?api=1&query=47.1939585,0.1854373",premier domaine plausible comme site officiel (de.wikipedia.org)
Jean-Louis Page,wine,shop:wine,,37420,,,,likely_yes,medium,https://maisondesvinsduveron.com/nos-vignerons/jean-louis-page/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/189584154,"https://www.google.com/maps/search/?api=1&query=47.2055876,0.1457827",premier domaine plausible comme site officiel (maisondesvinsduveron.com)
